Sat Mar 24 12:11:34 2018    /home/nicky/pos/restats

         487005348 function calls (486224466 primitive calls) in 1022.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 threading.py:1024(daemon)
        1    0.000    0.000    0.001    0.001 warnings.py:36(formatwarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 {posix.uname}
       10    0.000    0.000    0.000    0.000 _tqdm.py:122(exit)
        1    0.000    0.000    0.000    0.000 process.py:301(__init__)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 threading.py:293(_release_save)
        1    0.000    0.000    0.000    0.000 string.py:248(strip)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       38    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {hasattr}
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       10    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
